3117218420.7	-1.3	85.6	12.4	73.0	14.9	64.8
3117218660.7	-1.3	85.3	12.4	72.7	14.9	64.8
3117218901.7	-1.3	85.1	12.4	72.7	14.9	64.8
3117219142.7	-1.3	84.8	12.4	72.4	14.9	64.9
3117219382.7	-1.3	84.5	12.4	71.9	14.9	64.9
3117219623.7	-1.3	84.2	12.3	72.1	14.9	64.9
3117219863.7	-1.3	84.0	12.4	72.4	14.9	64.9
3117220104.7	-1.3	83.6	12.3	71.6	14.9	64.9
3117220345.7	-1.3	83.4	12.4	71.7	14.9	65.0
3117220585.7	-1.3	83.1	12.3	71.8	14.9	65.0
3117220826.7	-1.3	83.4	12.3	71.6	14.9	65.0
3117221066.7	-1.4	83.5	12.3	71.6	14.9	65.0
3117221307.7	-1.4	83.5	12.3	71.7	14.9	65.0
3117221548.7	-1.6	83.4	12.4	72.9	14.9	65.1
3117221788.7	-1.5	83.6	12.3	73.0	14.9	65.1
3117222029.7	-1.5	83.5	12.4	73.1	14.9	65.1
3117222269.7	-1.6	84.2	12.3	73.0	14.9	65.1
3117222510.7	-1.7	84.3	12.4	72.8	14.9	65.1
3117222751.7	-1.8	84.3	12.3	72.7	14.9	65.1
3117222991.7	-1.8	84.2	12.3	73.0	14.9	65.2
3117223232.7	-2.0	85.0	12.3	73.1	14.9	65.2
3117223472.7	-2.2	85.6	12.3	73.0	14.9	65.2
3117223713.7	-2.4	84.3	12.4	73.5	14.9	65.2
3117223953.7	-2.4	85.0	12.4	73.7	14.9	65.2
3117224194.7	-2.5	85.0	12.4	73.9	14.9	65.2
3117224435.7	-2.7	83.8	12.4	73.8	14.9	65.3
3117224675.7	-2.9	84.5	12.4	73.9	14.9	65.3
3117224916.7	-2.9	85.8	12.4	73.9	14.9	65.3
3117225157.7	-2.9	85.5	12.4	73.6	14.9	65.3
3117225397.7	-2.8	86.0	12.4	73.9	14.9	65.3
3117225638.7	-2.8	85.9	12.4	73.8	14.9	65.3
3117225878.7	-2.7	86.2	12.4	73.9	14.9	65.3
3117226119.7	-2.8	85.3	12.3	73.8	14.9	65.4
3117226359.7	-2.4	86.2	12.3	74.1	14.9	65.4
3117226600.7	-2.3	84.5	12.4	74.0	14.9	65.4
3117226841.7	-2.5	83.7	12.4	74.2	14.9	65.4
3117227081.7	-2.6	84.5	12.4	74.2	14.9	65.4
3117227322.7	-2.9	83.9	12.3	74.1	14.9	65.4
3117227562.7	-3.3	84.1	12.3	74.0	14.9	65.4
3117227803.7	-3.4	85.7	12.3	73.8	14.9	65.5
3117228044.7	-3.5	86.7	12.3	72.8	14.9	65.5
3117228284.7	-3.7	86.6	12.3	73.2	14.9	65.5
3117228525.7	-3.7	87.2	12.3	72.7	14.9	65.5
3117228765.7	-3.4	88.3	12.2	72.2	14.9	65.6
3117229006.7	-3.3	87.9	12.2	72.3	14.9	65.6
3117229247.7	-3.6	86.7	12.3	73.2	14.9	65.6
3117229487.7	-3.8	85.6	12.3	73.8	14.9	65.6
3117229728.7	-4.0	85.1	12.3	74.3	14.9	65.6
3117229968.7	-3.8	87.8	12.3	74.5	14.9	65.6
3117230209.7	-3.7	88.1	12.3	74.5	14.9	65.6
3117230450.7	-4.2	86.2	12.3	74.4	14.9	65.6
3117230690.7	-4.2	87.1	12.3	74.6	14.9	65.6
3117230931.7	-4.4	87.4	12.3	74.4	14.9	65.6
3117231171.7	-4.4	87.8	12.3	74.4	14.9	65.7
3117231412.7	-4.5	86.8	12.3	74.4	14.9	65.7
3117231653.7	-4.6	86.2	12.3	74.4	14.9	65.7
3117231893.7	-4.6	87.4	12.3	74.3	14.9	65.7
3117232134.7	-4.6	87.6	12.3	74.4	14.9	65.7
3117232374.7	-4.6	87.9	12.2	74.2	14.9	65.7
3117232615.7	-4.6	88.4	12.2	74.1	14.9	65.8
3117232856.7	-4.6	88.7	12.2	74.0	14.9	65.8
3117233096.7	-4.7	87.6	12.2	74.1	14.9	65.8
3117233337.7	-4.9	87.1	12.2	74.4	14.9	65.8
3117233577.7	-5.0	86.0	12.2	74.3	14.9	65.8
3117233818.7	-5.1	86.7	12.2	74.3	14.9	65.8
3117234059.7	-5.2	87.0	12.2	73.9	14.9	65.9
3117234299.7	-5.3	88.0	12.2	73.5	14.9	65.9
3117234540.7	-5.1	89.1	12.1	73.1	14.9	65.9
3117234780.7	-5.2	88.5	12.2	73.0	14.8	65.9
3117235021.7	-5.3	87.9	12.2	73.9	14.9	65.9
3117235262.7	-5.3	87.5	12.2	74.2	14.8	66.0
3117235502.7	-5.4	87.2	12.2	74.1	14.9	66.0
3117235743.7	-5.6	86.6	12.2	74.4	14.8	66.0
3117235983.7	-5.6	86.6	12.2	74.5	14.8	66.0
3117236224.7	-5.6	86.4	12.2	74.5	14.8	66.0
3117236465.7	-5.6	86.7	12.2	74.6	14.9	66.0
3117236705.7	-5.6	87.2	12.2	74.5	14.8	66.0
3117236946.7	-5.5	87.8	12.2	74.4	14.8	66.0
3117237186.7	-5.6	87.2	12.2	74.4	14.8	66.0
3117237427.7	-5.5	87.4	12.2	74.6	14.8	66.1
3117237667.7	-5.5	88.0	12.2	74.8	14.8	66.1
3117237908.7	-5.6	87.8	12.1	74.7	14.8	66.1
3117238149.7	-5.8	86.6	12.1	74.1	14.8	66.1
3117238389.7	-5.7	87.5	12.1	74.4	14.8	66.1
3117238630.7	-5.7	88.1	12.1	74.2	14.8	66.2
3117238871.7	-5.7	88.9	12.0	73.6	14.8	66.2
3117239111.7	-5.6	88.6	12.1	73.3	14.9	66.2
